dns_qty,dns_unique,dns_new,label,y
1,1,1,background,0
1,1,1,background,0
1,1,1,background,0
1,1,0,background,0
4,2,1,foreground,1
2,1,1,foreground,1
2,1,1,foreground,1
3,2,2,foreground,1
9,5,4,foreground,1
2,1,1,foreground,1
8,4,3,foreground,1
10,6,4,foreground,1
8,6,3,foreground,1
2,1,1,foreground,1
3,1,0,foreground,1
2,1,1,foreground,1
6,3,3,foreground,1
6,3,3,foreground,1
2,1,1,foreground,1
2,1,0,foreground,1
4,2,1,foreground,1
2,1,1,foreground,1
2,1,0,foreground,1
4,2,1,foreground,1
8,4,2,foreground,1
2,1,0,foreground,1
4,2,2,foreground,1
6,4,4,foreground,1
5,5,5,foreground,1
1,1,1,foreground,1
2,2,2,foreground,1
2,2,1,foreground,1
1,1,0,foreground,1
3,3,3,foreground,1
1,1,0,foreground,1
1,1,1,foreground,1
1,1,1,foreground,1
9,9,9,foreground,1
6,6,6,foreground,1
6,6,4,foreground,1
1,1,0,foreground,1
9,9,8,foreground,1
3,3,3,foreground,1
1,1,1,foreground,1
1,1,1,foreground,1
1,1,1,foreground,1
1,1,0,foreground,1
1,1,1,foreground,1
6,3,1,foreground,1
2,2,2,foreground,1
1,1,0,foreground,1
1,1,0,foreground,1
1,1,0,foreground,1
1,1,0,foreground,1
3,2,0,foreground,1
9,5,3,foreground,1
12,8,5,sospechoso,2
15,8,1,sospechoso,2
7,4,1,sospechoso,2
18,8,3,sospechoso,2
2,1,1,sospechoso,2
10,5,2,sospechoso,2
4,1,0,sospechoso,2
2,1,0,sospechoso,2
6,2,0,sospechoso,2
4,2,1,sospechoso,2
4,2,2,sospechoso,2
6,3,3,sospechoso,2
6,3,2,sospechoso,2
2,1,0,sospechoso,2
2,1,0,sospechoso,2
4,2,0,sospechoso,2
8,4,2,sospechoso,2
2,1,0,sospechoso,2
17,10,9,sospechoso,2
15,7,5,sospechoso,2
15,11,8,sospechoso,2
9,6,6,sospechoso,2
13,7,6,sospechoso,2
4,3,2,sospechoso,2
15,9,5,sospechoso,2
23,13,10,sospechoso,2
10,5,4,sospechoso,2
18,12,7,sospechoso,2
21,13,9,sospechoso,2
6,5,3,sospechoso,2
14,8,6,sospechoso,2
9,5,5,sospechoso,2
7,4,2,sospechoso,2
10,3,0,sospechoso,2
4,3,0,sospechoso,2
9,5,3,sospechoso,2
2,1,0,sospechoso,2
9,5,4,sospechoso,2
14,8,3,sospechoso,2
7,4,3,sospechoso,2
13,7,3,sospechoso,2
10,6,4,sospechoso,2
23,13,9,sospechoso,2
5,3,1,sospechoso,2
28,17,8,sospechoso,2
24,15,11,sospechoso,2
20,14,14,sospechoso,2
24,16,10,sospechoso,2
24,20,12,sospechoso,2
19,12,9,sospechoso,2
21,17,11,sospechoso,2
16,10,5,sospechoso,2
16,10,4,sospechoso,2
19,11,7,sospechoso,2
14,7,6,sospechoso,2
10,5,4,sospechoso,2
2,1,0,sospechoso,2
2,1,1,sospechoso,2
7,4,2,sospechoso,2
6,3,0,sospechoso,2
3,2,0,sospechoso,2
11,6,2,sospechoso,2
2,2,2,sospechoso,2
2,1,0,sospechoso,2
4,2,1,sospechoso,2
4,2,0,sospechoso,2
2,1,0,sospechoso,2
